row,model_id,dataset,predict_mode,num_runs,ndcg_multi_mean,ndcg_multi_std,ndcg_single_mean,ndcg_single_std,recall_multi_mean,recall_multi_std,recall_single_mean,recall_single_std,snsr_mean,snsr_std,snsr_gender_mean,snsr_gender_std,snsr_occupation_mean,snsr_occupation_std,snsr_age_mean,snsr_age_std,CFR_mean,CFR_std,CFR_gender_mean,CFR_gender_std,CFR_occupation_mean,CFR_occupation_std,CFR_age_mean,CFR_age_std,n_violations_mean,n_violations_std,fixedQ0_corrected_violations_mean,fixedQ0_corrected_violations_std
Baseline Fair,mistralai/Mistral-7B-Instruct-v0.2,ml-1m,open,3,0.030377372944969634,0.003324609453943648,0.01881015806218209,0.0028378884545207164,0.025702821869488537,0.0029448528329256637,0.033777777777777775,0.005047918529600243,0.040696183840433754,0.007176842274431005,0.030440449714660645,0.002828882001931108,0.07868013779322307,0.004739869574484654,0.11598296960194905,0.019045859645416427,0.6943122106214545,0.006352639973830202,0.5911219987510038,0.03556348200233476,0.6486621064985347,0.027505172222718904,0.6029795723182624,0.03786483731927893,45.333333333333336,5.131601439446884,,
FACTOR Iteration 3,mistralai/Mistral-7B-Instruct-v0.2,ml-1m,open,3,0.025597648444694587,0.0007299655235615156,0.011520291794966768,0.002273102607235277,0.021680423280423283,0.001410737298795022,0.021333333333333333,0.004618802153517006,0.04051788647969564,0.005195641176693685,0.03371028105417887,0.003157614532745044,0.12832717100779215,0.007759755839519344,0.11637715498606364,0.008163472898698782,0.7846451187181743,0.030989926521175323,0.6775913085209021,0.035162833178289735,0.7541685186505155,0.047715200794538636,0.6630671100082908,0.03696483647330699,7.333333333333333,1.1547005383792517,37.0,4.358898943540674
Baseline Neutral,meta-llama/Llama-2-7b-chat-hf,ml-1m,rank,3,0.35569386486330856,0.002300585945871423,0.17076997173641875,0.004866920887072707,0.338689417989418,0.0035583852748285174,0.34488888888888886,0.005388602512436507,0.017426451047261555,0.0024952383446866714,0.0021433432896931968,0.0004114309179138815,0.01899041732152303,0.0008150705366829498,0.016515811284383137,0.002338557969871701,0.4969641249655779,0.0037985839809715764,0.2489095762770821,0.01472978481389332,0.4682005870956279,0.009111326648790427,0.4177428372492775,0.009125220474941537,60.666666666666664,6.3508529610858835,,
Baseline Fair,meta-llama/Llama-2-7b-chat-hf,ml-1m,rank,3,0.3426544143100463,0.007610023274819292,0.15924647235614703,0.009971405306143996,0.3286188712522046,0.008442505219731207,0.3244444444444445,0.01195051525311002,0.015331427256266275,0.00032629305819930704,0.0022776126861572266,0.0004895834089474528,0.02142210801442464,0.003962609183939913,0.01589357852935791,0.0007391639336493908,0.49408916559867927,0.03145441484332531,0.24407031571456708,0.0072669770668737565,0.4519041425906933,0.01875960920691832,0.4342260747249183,0.025723659236921347,59.0,3.605551275463989,,
FACTOR Iteration 3,meta-llama/Llama-2-7b-chat-hf,ml-1m,rank,3,0.3255467404233594,0.0027098552359958346,0.1573699268450813,0.004780439127968898,0.3170310405643739,0.003226593343337183,0.3204444444444445,0.016671110518676497,0.016668975353240967,0.0025830140059538466,0.0023140708605448404,0.00020330789020161965,0.01725246508916219,0.0023409298996226843,0.013706485430399576,0.0029478688981745237,0.5297056987969903,0.013021968577489332,0.2538206318367042,0.031328721077993886,0.4932925759847262,0.005857077408421578,0.44263078221007995,0.010441394217680738,7.666666666666667,0.5773502691896258,62.666666666666664,5.033222956847167
Baseline Neutral,meta-llama/Meta-Llama-3-8B-Instruct,amazon,rank,3,0.44782031658890714,0.0046952449214706735,0.2510828697221578,0.006046754596668323,0.41888136390358605,0.007080570952689972,0.4189629629629629,0.009079439079137526,0.0,0.0,0.004006048043568929,0.00018949723983923477,0.050103207429250084,0.0031536493628749607,0.014973839124043783,0.0003131748135929248,0.7148700836246467,0.0281459871176608,0.7096478401144464,0.011419874332087283,0.6923076528893399,0.011984812107251656,0.7083247900460142,0.006099749841483155,92.0,4.358898943540674,,
Baseline Fair,meta-llama/Meta-Llama-3-8B-Instruct,amazon,rank,3,0.45765726398631923,0.0032462567063299046,0.2539093414265425,0.0010845982342408144,0.4313689594356261,0.0033190048976793995,0.42488888888888887,0.0032049344670791054,0.0,0.0,0.004292547702789307,0.00045144845587265117,0.053017874558766685,0.004329472626811882,0.01349480946858724,0.0007788352739233267,0.6813086219753925,0.01218660329868607,0.6852489728287584,0.004874768553354263,0.6757203107168706,0.012549863580418251,0.6887797188841299,0.0005226454940798134,91.33333333333333,3.214550253664318,,
FACTOR Iteration 3,meta-llama/Meta-Llama-3-8B-Instruct,amazon,rank,3,0.4511659470047487,0.003981378088008001,0.24696190336621782,0.01234911788534403,0.42326607877718986,0.0022520024198260896,0.41244444444444445,0.015574591527053556,0.0,0.0,0.003658155600229899,0.0006600060839353837,0.04581151405970255,0.0019692282925097295,0.013125916322072348,0.0013038502248120956,0.7065459492958502,0.0053983339543326545,0.6863477870419662,0.0110477515642499,0.6965382102130513,0.0153322960871698,0.6985749150388186,0.006214094414041251,1.6666666666666667,1.1547005383792517,88.66666666666667,5.773502691896257
Baseline Neutral,meta-llama/Meta-Llama-3-8B-Instruct,ml-1m,rank,3,0.46554615858038256,0.001676452913059875,0.22417434544631995,0.011453980880093867,0.43279047619047617,0.003959663117082531,0.4426666666666667,0.031184041502737347,0.025777618090311687,0.003456253338417427,0.003947655359903972,0.0002548524359026541,0.03127666314442953,0.0055789961485439845,0.04641556739807129,0.008840884157085659,0.532554140856145,0.007475898885576779,0.26898152461205743,0.030294407959817915,0.497290538690818,0.005240185272186811,0.4448342199033279,0.024005932074061643,61.333333333333336,7.094598884597588,,
Baseline Fair,meta-llama/Meta-Llama-3-8B-Instruct,ml-1m,rank,3,0.45617999834181644,0.005565752175082002,0.22744808584003115,0.002796178416741001,0.42620493827160494,0.0038564218751679425,0.44755555555555554,0.011950515253109986,0.023883978525797527,0.006371113099523004,0.004330734411875407,0.00010153826329360323,0.03157122929890951,0.008234699582019455,0.037221272786458336,0.003603831082562549,0.5344517533140271,0.0063334803786434255,0.25535815066784956,0.00437528682139956,0.49095019278339525,0.01365893869816297,0.45076850512368366,0.029163288852263283,55.666666666666664,4.932882862316248,,
FACTOR Iteration 3,meta-llama/Meta-Llama-3-8B-Instruct,ml-1m,rank,3,0.4375694604197622,0.006579793281090523,0.2207278768321559,0.007822937087572602,0.4067449735449736,0.004978023762953536,0.4297777777777778,0.009828153061109323,0.0243415633837382,0.002806019494660533,0.004491666952768962,0.0006934749786991083,0.03005292018254598,0.0076950345717025255,0.028769850730895996,0.006836126672280467,0.5526368974594663,0.009574791810602081,0.2821490591796911,0.02512118158440745,0.5254110016884169,0.014257577896537206,0.4632382889390119,0.007020649058291341,7.666666666666667,1.5275252316519465,60.333333333333336,4.163331998932266
Baseline Neutral,mistralai/Mistral-7B-Instruct-v0.2,ml-1m,rank,3,0.398885847092786,0.0041834650526492885,0.19321754003781033,0.003366131223339637,0.34858712522045865,0.0021393079454108937,0.3546666666666667,0.0013333333333333253,0.019555409749348957,0.0005358254989667543,0.0027768214543660483,0.00030090664102903127,0.023562451203664143,0.0014358576750447478,0.02018525203069051,0.001222160800898488,0.3577259396227661,0.004916063908369439,0.15654631739339808,0.013354799148308037,0.3249680168630072,0.022228255872791328,0.28298913827342803,0.01592142069644145,47.333333333333336,3.511884584284246,,
Baseline Fair,mistralai/Mistral-7B-Instruct-v0.2,ml-1m,rank,3,0.3906331439020622,0.005516440027339773,0.18762960073078735,0.0007689916832523171,0.33983492063492066,0.003911377906965689,0.34,0.0074236858171066915,0.01905969778696696,0.0010610844666339965,0.002942343552907308,0.00036207679468005724,0.023844659328460693,0.002154869361918617,0.023911039034525555,0.0005144689564232738,0.3182899200486629,0.03101117191777941,0.15234711359441808,0.011040075511543327,0.2879521880688354,0.007481603392229664,0.2591709864654908,0.032189953911325536,47.333333333333336,6.658328118479393,,
FACTOR Iteration 3,mistralai/Mistral-7B-Instruct-v0.2,ml-1m,rank,3,0.38122304360663883,0.0013994007045292837,0.1906720420271966,0.004231549395118556,0.333768253968254,0.0018295969622000707,0.34400000000000003,0.003999999999999976,0.019229849179585774,0.00013158380203935805,0.003333151340484619,0.00017692703846344576,0.024481852849324543,0.0005705598739226,0.019536395867665608,0.0016920772116066987,0.3198482328195778,0.014929498043795425,0.15861058508996495,0.01863267850336494,0.28698630482491655,0.015908744538205417,0.2695655026003043,0.004337991140282443,7.0,0.0,46.333333333333336,1.5275252316519465
